Critère DSM-5;ID Critère;ID Projet;French Item (Validated);English Item (Author's suggestion)
A;A1;pTRAQ1;Je ne prête pas vraiment attention aux détails;I don't really pay attention to details
A;A2;pTRAQ2;On me reproche des imprécisions dans mon travail;I have been accused of inaccuracies in my work
A;A3;pTRAQ3;Je fais souvent des fautes d’étourderie dans mes activités;I often make careless mistakes in my activities
B;B1;pTRAQ4;J’ai du mal à maintenir mon attention au travail;I have trouble maintaining my attention at work.
B;B2;pTRAQ5;J’ai des difficultés à rester concentré pendant la lecture de longs textes;I have difficulty staying focused while reading long texts
B;B3;pTRAQ6;J’ai du mal à rester concentré durant les conversations;I have trouble staying focused during conversations
C;C1;pTRAQ7;Mes proches me reprochent de ne pas les écouter quand ils parlent;My relatives blame me for not listening to them when they talk
C;C2;pTRAQ8;J’ai souvent l’esprit ailleurs, même en l’absence de distraction évidente;My mind is often elsewhere, even when there is no obvious distraction
D;D1;pTRAQ9;J’ai des difficultés à me conformer aux consignes;I have difficulty complying with instructions
D;D2;pTRAQ10;J’ai des difficultés à mener mes tâches (professionnelles, domestiques) à leur terme;I have difficulty completing my tasks (work, home)
D;D3;pTRAQ11;J’ai des difficultés à rester concentré lors de mes activités (professionnelles, domestiques);I have difficulty staying focused during my activities (domestic, professional).
E;E1;pTRAQ12;J’ai des difficultés à organiser mon temps;I have difficulty organizing my time
E;E2;pTRAQ13;Mon travail est souvent brouillon ou désorganisé;My work is often messy or disorganized
E;E3;pTRAQ14;Il m’est difficile d’organiser des taches nécessitant plusieurs étapes;It is difficult for me to organize tasks that require several steps
F;F1;pTRAQ15;J’ ai tendance à éviter les taches nécessitant un effort mental soutenu (devoirs à l’école, rédaction d’un rapport….);I tend to avoid tasks that require sustained mental effort (homework at school, writing a report ....)
F;F2;pTRAQ16;Je rencontre souvent des difficultés à réaliser un travail nécessitant un effort mental soutenu (devoirs à l’école, rédaction d’un rapport);I often find it difficult to do work that requires sustained mental effort (school assignments, writing a report)
F;F3;pTRAQ17;J’ai tendance à fonctionner à la dernière minute;I tend to operate at the last minute
G (I);G1 (I3);pTRAQ18;Je perds souvent des objets nécessaires à mon quotidien;I often lose things I need for my daily life
G;G2;pTRAQ19;Je perds souvent des objets nécessaires à mon travail;I often lose things I need for my work
G;G3;pTRAQ20;Je perds souvent des objets nécessaires à mes activités/loisirs;I often lose things I need for my activities/leisure
H;H1;pTRAQ21;Je suis facilement distrait par mon environnement;I am easily distracted by my environment
H;H2;pTRAQ22;Je suis souvent distrait par des pensées sans rapport avec l’activité que je suis en train de mener;I am often distracted by thoughts unrelated to the activity I am doing
H (C);H3 (C3);pTRAQ23;Je suis facilement distrait parce qu’il se passe autour de moi;I am easily distracted by what is going on around me
I;I1;pTRAQ24;Je suis souvent sujet à des oublis dans ma vie quotidienne (effectuer les tâches ménagères, les courses…);I am often subject to forgetfulness in my daily life (doing housework, shopping...)
I;I2;pTRAQ25;J’ai souvent du mal à honorer mes obligations (rendez-vous, rappeler des personnes au téléphone, payer des factures…);I often have trouble meeting my obligations (appointments, calling people back on the phone, paying bills...)
a (c, d);a1 (c3, d2);pTRAQ26;Il m’arrive souvent de remuer les mains ou les pieds sur mon siège;I often wiggle my hands or feet on my seat
a (d);a2 (d3);pTRAQ27;J’ai du mal à tenir en place lorsque je suis assis;I have trouble sitting still
b;b1;pTRAQ28;Je quitte souvent ma place sans nécessité lors d’une réunion;I often leave my seat unnecessarily during a meeting
b;b2;pTRAQ29;Je quitte souvent ma place sans nécessité au travail.;I often leave my seat unnecessarily at work.
b;b3;pTRAQ30;Il m’arrive souvent de me lever de mon siège alors que la situation ne s’y prête pas.;I often get up from my seat when it's not appropriate to do so.
c;c1;pTRAQ31;Mon entourage trouve que je suis une personne agitée.;The people around me think that I am a restless person.
c;c2;pTRAQ32;Je manifeste souvent mon impatience lors de circonstances inappropriées.;I often show my impatience in inappropriate circumstances.
d;D1;pTRAQ33;J’ai du mal à tenir en place lorsque la situation l’exige.;I find it hard to stay in place when the situation demands it.
e;e1;pTRAQ34;Mon entourage trouve que je suis difficile à suivre.;My entourage finds me difficult to follow.
e;e2;pTRAQ35;Mon entourage trouve que je suis une personne impatiente.;The people around me find me to be an impatient person.
e;e3;pTRAQ36;Il m’est difficile de rester tranquille dans un laps de temps prolongé.;It's hard for me to sit still for any length of time.
f;f1;pTRAQ37;J’ai tendance à monopoliser les conversations.;I tend to monopolize conversations.
g;g1;pTRAQ38;Il m’arrive souvent de donner la réponse à une question avant que celle ci ne soit terminée.;I often give the answer to a question before it is finished.
g (f);g2 (f2);pTRAQ39;Il m’arrive souvent de terminer les phrases des autres.;I often finish other people's sentences.
g (h,f);g3 (h2, f3);pTRAQ40;Il m’est difficile d’attendre mon tour dans une conversation avant de prendre la parole.;I find it difficult to wait my turn in a conversation before speaking.
h;h1;pTRAQ41;Il m’est difficile d’attendre mon tour dans une file d’attente.;It is difficult for me to wait my turn in a queue.
i;i1;pTRAQ42;Il m’arrive souvent d’interrompre les autres lorsqu’ils sont occupés;I often interrupt others when they are busy
i;i2;pTRAQ43;Je m’impose souvent dans les conversations.;I often impose myself in conversations.
Additional File 1 : Preliminary Trognon & Richard ADHD Questionnaire;;;;